id,movie_id,genre_id,genre_name
463,10196,10751,Family
464,10196,14,Fantasy
465,956,12,Adventure
466,956,28,Action
467,956,53,Thriller
468,117251,28,Action
469,117251,18,Drama
470,117251,53,Thriller
471,50321,12,Adventure
472,50321,16,Animation
473,50321,10751,Family
474,11619,12,Adventure
475,11619,16,Animation
476,11619,35,Comedy
477,11619,10751,Family
478,266647,12,Adventure
479,266647,10751,Family
480,266647,14,Fantasy
481,82703,16,Animation
482,82703,12,Adventure
483,82703,10751,Family
484,652,12,Adventure
485,652,18,Drama
486,652,10752,War
487,80321,16,Animation
488,80321,10751,Family
489,36669,12,Adventure
490,36669,28,Action
491,36669,53,Thriller
492,43074,28,Action
493,43074,14,Fantasy
494,43074,35,Comedy
495,95,28,Action
496,95,53,Thriller
497,95,878,ScienceFiction
498,95,12,Adventure
499,608,28,Action
500,608,12,Adventure
501,608,35,Comedy
502,608,878,ScienceFiction
503,2310,12,Adventure
504,2310,28,Action
505,2310,16,Animation
506,140300,28,Action
507,140300,12,Adventure
508,140300,16,Animation
509,140300,35,Comedy
510,140300,10751,Family
511,56292,28,Action
512,56292,53,Thriller
513,56292,12,Adventure
514,81188,14,Fantasy
515,81188,16,Animation
516,81188,10751,Family
517,7552,35,Comedy
518,616,18,Drama
519,616,28,Action
520,616,10752,War
521,616,36,History
522,147441,12,Adventure
523,147441,18,Drama
524,147441,28,Action
525,13475,878,ScienceFiction
526,13475,28,Action
527,13475,12,Adventure
528,557,14,Fantasy
529,557,28,Action
530,82702,14,Fantasy
531,82702,28,Action
532,82702,12,Adventure
533,82702,16,Animation
534,82702,35,Comedy
535,82702,10751,Family
536,205584,14,Fantasy
537,10048,28,Action
538,13183,28,Action
539,13183,9648,Mystery
540,13183,878,ScienceFiction
541,944,28,Action
542,944,12,Adventure
543,944,35,Comedy
544,944,80,Crime
545,944,53,Thriller
546,1927,18,Drama
547,1927,28,Action
548,1927,878,ScienceFiction
549,72559,12,Adventure
550,72559,28,Action
551,72559,878,ScienceFiction
552,72559,53,Thriller
553,7364,28,Action
554,7364,12,Adventure
555,7364,35,Comedy
556,7364,18,Drama
557,7364,9648,Mystery
558,2114,12,Adventure
559,2114,28,Action
560,2114,16,Animation
561,2114,14,Fantasy
562,2114,878,ScienceFiction
563,2114,53,Thriller
564,1771,28,Action
565,1771,12,Adventure
566,1771,878,ScienceFiction
567,36643,12,Adventure
568,36643,28,Action
569,36643,53,Thriller
570,8619,12,Adventure
571,50620,12,Adventure
572,50620,14,Fantasy
573,50620,18,Drama
574,50620,10749,Romance
575,65759,16,Animation
576,65759,35,Comedy
577,65759,10751,Family
578,1724,878,ScienceFiction
579,1724,28,Action
580,1724,12,Adventure
581,267935,12,Adventure
582,267935,10751,Family
583,267935,14,Fantasy
584,281957,37,Western
585,281957,18,Drama
586,281957,12,Adventure
587,281957,53,Thriller
588,77950,16,Animation
589,77950,10751,Family
590,44896,16,Animation
591,44896,35,Comedy
592,44896,10751,Family
593,44896,37,Western
594,44896,12,Adventure
595,270946,10751,Family
596,270946,16,Animation
597,270946,12,Adventure
598,270946,35,Comedy
599,2503,28,Action
600,2503,18,Drama
601,2503,9648,Mystery
602,2503,53,Thriller
603,9502,12,Adventure
604,9502,16,Animation
605,9502,10751,Family
606,9502,35,Comedy
607,102899,878,ScienceFiction
608,102899,28,Action
609,102899,12,Adventure
610,101299,12,Adventure
611,101299,28,Action
612,101299,878,ScienceFiction
613,228161,14,Fantasy
614,228161,35,Comedy
615,228161,16,Animation
616,228161,878,ScienceFiction
617,228161,10751,Family
618,74,12,Adventure
619,74,53,Thriller
620,74,878,ScienceFiction
621,8961,12,Adventure
622,8961,28,Action
623,8961,35,Comedy
624,8961,53,Thriller
625,8961,80,Crime
626,417859,28,Action
627,417859,12,Adventure
628,417859,16,Animation
629,417859,10751,Family
630,417859,14,Fantasy
631,27576,28,Action
632,27576,9648,Mystery
633,27576,53,Thriller
634,86834,18,Drama
635,86834,12,Adventure
636,17578,12,Adventure
637,17578,16,Animation
638,17578,9648,Mystery
639,673,12,Adventure
640,673,14,Fantasy
641,673,10751,Family
642,6972,18,Drama
643,82700,878,ScienceFiction
644,82700,28,Action
645,82700,12,Adventure
646,10567,16,Animation
647,10567,10751,Family
648,181533,12,Adventure
649,181533,35,Comedy
650,181533,14,Fantasy
651,181533,10751,Family
652,38055,16,Animation
653,38055,28,Action
654,38055,35,Comedy
655,38055,10751,Family
656,38055,878,ScienceFiction
657,671,12,Adventure
658,671,14,Fantasy
659,671,10751,Family
660,49524,14,Fantasy
661,49524,28,Action
662,49524,35,Comedy
663,49524,80,Crime
664,22,12,Adventure
665,22,14,Fantasy
666,22,28,Action
667,131631,878,ScienceFiction
668,131631,12,Adventure
669,131631,53,Thriller
670,591,53,Thriller
671,591,9648,Mystery
672,172385,16,Animation
673,172385,12,Adventure
674,172385,35,Comedy
675,172385,10751,Family
676,36658,12,Adventure
677,36658,28,Action
678,36658,878,ScienceFiction
679,36658,53,Thriller
680,51497,28,Action
681,51497,53,Thriller
682,51497,80,Crime
683,58574,12,Adventure
684,58574,28,Action
685,58574,80,Crime
686,58574,9648,Mystery
687,18823,12,Adventure
688,18823,14,Fantasy
689,18823,28,Action
690,861,28,Action
691,861,12,Adventure
692,861,878,ScienceFiction
693,1911,12,Adventure
694,1911,14,Fantasy
695,1911,28,Action
696,49040,28,Action
697,49040,53,Thriller
698,415,28,Action
699,415,80,Crime
700,415,14,Fantasy
701,8871,10751,Family
702,8871,35,Comedy
703,8871,14,Fantasy
704,435,28,Action
705,435,12,Adventure
706,435,878,ScienceFiction
707,435,53,Thriller
708,955,12,Adventure
709,955,28,Action
710,955,53,Thriller
711,2133,18,Drama
712,1979,12,Adventure
713,1979,14,Fantasy
714,1979,28,Action
715,1979,53,Thriller
716,87827,12,Adventure
717,87827,18,Drama
718,87827,28,Action
719,1250,53,Thriller
720,1250,28,Action
721,1250,14,Fantasy
722,1250,27,Horror
723,324668,28,Action
724,324668,53,Thriller
725,9471,28,Action
726,9471,12,Adventure
727,9471,35,Comedy
728,70981,878,ScienceFiction
729,70981,12,Adventure
730,70981,9648,Mystery
731,10996,10751,Family
732,10996,12,Adventure
733,10996,16,Animation
734,10996,35,Comedy
735,68724,878,ScienceFiction
736,68724,28,Action
737,68724,18,Drama
738,68724,53,Thriller
739,2789,28,Action
740,2789,878,ScienceFiction
741,97020,28,Action
742,97020,878,ScienceFiction
743,7459,28,Action
744,7459,10751,Family
745,7459,878,ScienceFiction
746,42888,35,Comedy
747,42888,18,Drama
748,42888,10749,Romance
749,37834,28,Action
750,37834,35,Comedy
751,75612,28,Action
752,75612,878,ScienceFiction
753,75612,12,Adventure
754,75612,9648,Mystery
755,1895,878,ScienceFiction
756,1895,12,Adventure
757,1895,28,Action
758,1894,12,Adventure
759,1894,28,Action
760,1894,878,ScienceFiction
761,585,16,Animation
762,585,35,Comedy
763,585,10751,Family
764,76170,28,Action
765,76170,878,ScienceFiction
766,76170,12,Adventure
767,76170,14,Fantasy
768,1893,12,Adventure
769,1893,28,Action
